site,year,organism,perc_cover
Appledore,1979,Neosiphonia harveyi,0
Appledore,1990,Neosiphonia harveyi,0
Appledore,1991,Neosiphonia harveyi,61.57
Appledore,1992,Neosiphonia harveyi,79.35
Appledore,1996,Neosiphonia harveyi,0
Appledore,1997,Neosiphonia harveyi,32.14
Appledore,1998,Neosiphonia harveyi,20.67
Appledore,2001,Neosiphonia harveyi,30.5
Appledore,2014,Neosiphonia harveyi,0
Star Island,1977,Neosiphonia harveyi,0
Star Island,1983,Neosiphonia harveyi,0
Star Island,1984,Neosiphonia harveyi,0
Star Island,1987,Neosiphonia harveyi,0
Star Island,1994,Neosiphonia harveyi,0
Star Island,1997,Neosiphonia harveyi,0
Star Island,2000,Neosiphonia harveyi,3.5
Star Island,2008,Neosiphonia harveyi,0
Star Island,2011,Neosiphonia harveyi,0
Star Island,2012,Neosiphonia harveyi,0
Star Island,2015,Neosiphonia harveyi,0
White Island,1998,Neosiphonia harveyi,12
White Island,2007,Neosiphonia harveyi,6
White Island,2008,Neosiphonia harveyi,36
White Island,2009,Neosiphonia harveyi,8
White Island,2010,Neosiphonia harveyi,46
White Island,2012,Neosiphonia harveyi,0
White Island,2013,Neosiphonia harveyi,0
White Island,2014,Neosiphonia harveyi,0
Lunging,1996,Neosiphonia harveyi,0
Lunging,2014,Neosiphonia harveyi,0
Appledore,1979,Dasysiphonia japonica,0
Appledore,1990,Dasysiphonia japonica,0
Appledore,1991,Dasysiphonia japonica,0
Appledore,1992,Dasysiphonia japonica,0
Appledore,1996,Dasysiphonia japonica,0
Appledore,1997,Dasysiphonia japonica,0
Appledore,1998,Dasysiphonia japonica,0
Appledore,2001,Dasysiphonia japonica,0
Appledore,2014,Dasysiphonia japonica,61.2
Star Island,1977,Dasysiphonia japonica,0
Star Island,1983,Dasysiphonia japonica,0
Star Island,1984,Dasysiphonia japonica,0
Star Island,1987,Dasysiphonia japonica,0
Star Island,1994,Dasysiphonia japonica,0
Star Island,1997,Dasysiphonia japonica,0
Star Island,2000,Dasysiphonia japonica,0
Star Island,2008,Dasysiphonia japonica,0
Star Island,2011,Dasysiphonia japonica,0
Star Island,2012,Dasysiphonia japonica,43.5
Star Island,2015,Dasysiphonia japonica,82.21621622
White Island,1998,Dasysiphonia japonica,0
White Island,2007,Dasysiphonia japonica,0
White Island,2008,Dasysiphonia japonica,0
White Island,2009,Dasysiphonia japonica,0
White Island,2010,Dasysiphonia japonica,0
White Island,2012,Dasysiphonia japonica,46.4
White Island,2013,Dasysiphonia japonica,98.7
White Island,2014,Dasysiphonia japonica,56.6
Lunging,1996,Dasysiphonia japonica,0
Lunging,2014,Dasysiphonia japonica,73
Appledore,1979,Saccharina latissima,40
Appledore,1990,Saccharina latissima,53
Appledore,1991,Saccharina latissima,14.83
Appledore,1992,Saccharina latissima,9.17
Appledore,1996,Saccharina latissima,0.45
Appledore,1997,Saccharina latissima,0.45
Appledore,1998,Saccharina latissima,0.9
Appledore,2001,Saccharina latissima,0
Appledore,2014,Saccharina latissima,9
Star Island,1977,Saccharina latissima,6.694
Star Island,1983,Saccharina latissima,26
Star Island,1984,Saccharina latissima,47.5
Star Island,1987,Saccharina latissima,0.363636364
Star Island,1994,Saccharina latissima,85
Star Island,1997,Saccharina latissima,6.9
Star Island,2000,Saccharina latissima,13.28571429
Star Island,2008,Saccharina latissima,2.8
Star Island,2011,Saccharina latissima,1.5
Star Island,2012,Saccharina latissima,0.2
Star Island,2015,Saccharina latissima,2.743243243
White Island,1998,Saccharina latissima,24
White Island,2007,Saccharina latissima,0
White Island,2008,Saccharina latissima,0.9
White Island,2009,Saccharina latissima,2.3
White Island,2010,Saccharina latissima,0
White Island,2012,Saccharina latissima,3.3
White Island,2013,Saccharina latissima,0.3
White Island,2014,Saccharina latissima,13.5
Lunging,1996,Saccharina latissima,0
Lunging,2014,Saccharina latissima,0
Appledore,1979,Chondrus crispus,53
Appledore,1990,Chondrus crispus,0
Appledore,1991,Chondrus crispus,0
Appledore,1992,Chondrus crispus,0
Appledore,1996,Chondrus crispus,0
Appledore,1997,Chondrus crispus,0
Appledore,1998,Chondrus crispus,0
Appledore,2001,Chondrus crispus,0
Appledore,2014,Chondrus crispus,4
Star Island,1977,Chondrus crispus,70.19
Star Island,1983,Chondrus crispus,25.7
Star Island,1984,Chondrus crispus,8.3
Star Island,1987,Chondrus crispus,0
Star Island,1994,Chondrus crispus,0
Star Island,1997,Chondrus crispus,0
Star Island,2000,Chondrus crispus,11.42857143
Star Island,2008,Chondrus crispus,13.9
Star Island,2011,Chondrus crispus,15.5
Star Island,2012,Chondrus crispus,14.6
Star Island,2015,Chondrus crispus,2.837837838
White Island,1998,Chondrus crispus,11
White Island,2007,Chondrus crispus,38
White Island,2008,Chondrus crispus,13
White Island,2009,Chondrus crispus,16.9
White Island,2010,Chondrus crispus,6.3
White Island,2012,Chondrus crispus,12.5
White Island,2013,Chondrus crispus,0
White Island,2014,Chondrus crispus,7.5
Lunging,1996,Chondrus crispus,0
Lunging,2014,Chondrus crispus,0.6
Appledore,1979,Cystoclonium purpureum,0
